Movie_name,Genre,reviews
Shakuntala Devi,Biopic,Ok.not upto mark.
Dil Bechara,Romance,Really a good movie. I wish i could watch some more of SSR 😩
Dil Bechara,Romance,"No words, thank you for wonderful movie and music.."
Dil Bechara,Romance,Best movie ever. Sushant acting skills was superb
Dil Bechara,Romance,super movie he is a very good actor and movie also good
Dil Bechara,Romance,One of the best bollywood movie and a true masterpiece
Virgin Bhanupriya,Comedy,Not at all a good one
Virgin Bhanupriya,Comedy,Urvashi Rautela on how her new film differs from 'Pad M.. good movie i have
Virgin Bhanupriya,Comedy,"A trash ... better to stop making this type of movie and not to be watched once also.. shame on director, producer & actor."
Virgin Bhanupriya,Comedy,boring...
Virgin Bhanupriya,Comedy,Average
